
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     18:23:57  JUL 08, 2019 CP=      5.582

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     187    0.0174428024  -0.0512966247  -0.1280558885   0.1454986909   0.0972351970
     188    0.0208265630  -0.0440053839  -0.1367724166   0.1575989796   0.1057024573
     189   -0.0042396324  -0.0650369873  -0.0768726750   0.0726330426   0.0565552888
     190   -0.0078733867  -0.0470576732  -0.0686180316   0.0607446448   0.0423490965
     191    0.0034304355  -0.0291000043  -0.0671052042   0.0705356397   0.0474634841
     192    0.0282601148  -0.0123487298  -0.0584677264   0.0867278412   0.0588051628
     193    0.0310239054  -0.0268614506  -0.0416914868   0.0727153923   0.1061147052
     194    0.1525360968   0.0728492243  -0.3033479404   0.4558840372   0.3686513139
     195    0.1410547254   0.0985528844  -0.3588939237   0.4999486491   0.4321554967
     196    0.0613621647  -0.0078744119  -0.1321117056   0.1934738703   0.1569452831
     197    0.0293105916  -0.0090988486  -0.0236231412   0.0529337327   0.0525067586
     198    0.0275126433   0.0041072224  -0.0195170199   0.0470296632   0.0710807667
     199    0.0252280562   0.0198274632  -0.0355864376   0.0608144938   0.0538334827
     200    0.0294089855   0.0021285773  -0.0509019715   0.0803109570   0.0575115983
     201    0.0202095645  -0.0223368390  -0.0643403732   0.0845499376   0.0569756108
     202    0.0036907965  -0.0447142956  -0.0690223158   0.0727131123   0.0509686628
     203    0.0034493132  -0.0593165081  -0.0878930588   0.0913423720   0.0638120674
     204    0.0277832885  -0.0443760516  -0.1432764966   0.1710597852   0.1149429122
     205    0.0256833379  -0.0506339175  -0.1364630743   0.1621464123   0.1081587364
     206   -0.0000307057  -0.0621878190  -0.0845759483   0.0845452427   0.0596296649
     207   -0.0072343904  -0.0434661935  -0.0677889967   0.0605546063   0.0417354290
     208    0.0107946245  -0.0329007904  -0.0605473169   0.0713419414   0.0488412393
     209    0.0184137947  -0.0146560533  -0.0397782886   0.0581920834   0.0426785586
     210    0.0335837615  -0.0009510204  -0.0502541433   0.0838379048   0.0606013447
     211    0.0714979313   0.0181924747  -0.1324823509   0.2039802822   0.1549065382
     212    0.0382910770  -0.0007078422  -0.1134216372   0.1517127143   0.1280792080
     213    0.0168156223  -0.0286920433  -0.0484079773   0.0652235996   0.0469678868
     214    0.0233019591  -0.0090360400  -0.0398412674   0.0631432264   0.0458140388
     215    0.0278620305   0.0033416793  -0.0547219127   0.0825839432   0.0581097224
     216    0.0204497703   0.0096490589  -0.0642833689   0.0847331391   0.0631370768
     217    0.0172527135  -0.0025619657  -0.0701086575   0.0873613710   0.0635836445
     218    0.0194634410  -0.0293918988  -0.0763633307   0.0958267717   0.0653544911
