
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     17:59:09  JUL 26, 2019 CP=      0.602

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     267    0.0011337159  -0.0000275334  -0.0009355653   0.0020692812   0.0019483655
     268    0.0010925181  -0.0000532453  -0.0015023296   0.0025948477   0.0019136770
     269    0.0012384826  -0.0007221756  -0.0014234637   0.0026619462   0.0021173093
     270    0.0011602457  -0.0006065222  -0.0015819654   0.0027422110   0.0020083757
     271    0.0012977689  -0.0008718768  -0.0014072938   0.0027050627   0.0020638291
     272    0.0013643042  -0.0010498506  -0.0013482565   0.0027125607   0.0020864872
     273    0.0003616885  -0.0005048731  -0.0007971957   0.0011588842   0.0013249415
     274    0.0005007468  -0.0002054445  -0.0011970904   0.0016978372   0.0015822532
     275    0.0007941762  -0.0003425874  -0.0014926597   0.0022868359   0.0024524502
     276    0.0007161791   0.0000732254  -0.0014986530   0.0022148321   0.0020822726
     277    0.0009143444  -0.0001758468  -0.0011967672   0.0021111116   0.0014755463
     278    0.0010575020  -0.0004611189  -0.0010556196   0.0021131216   0.0016905837
     279    0.0015339348  -0.0013096196  -0.0020585075   0.0035924423   0.0028111955
     280    0.0011353407  -0.0014204252  -0.0029454511   0.0040807918   0.0035167249
     281    0.0009686391  -0.0014079360  -0.0031771052   0.0041457443   0.0032924724
     282    0.0019199116  -0.0021611414  -0.0027810789   0.0047009904   0.0036989940
     283    0.0014439995  -0.0010251488  -0.0018287784   0.0032727780   0.0026648626
     284    0.0010957137  -0.0002962924  -0.0012721745   0.0023678881   0.0016943503
     285    0.0005346399  -0.0003010400  -0.0012461590   0.0017807989   0.0013111636
     286    0.0004050193  -0.0000284992  -0.0019603052   0.0023653246   0.0017653240
     287    0.0007796584  -0.0000793511  -0.0014819834   0.0022616418   0.0031137173
     288    0.0005245343  -0.0003409388  -0.0007965505   0.0013210847   0.0013274958
     289    0.0007602486  -0.0007263032  -0.0009928904   0.0017531390   0.0014277972
     290    0.0016488469  -0.0013290600  -0.0034764948   0.0051253418   0.0035198029
     291   -0.0000154111  -0.0021424879  -0.0030182935   0.0030028825   0.0031556855
     292   -0.0008101039  -0.0020042399  -0.0028141841   0.0020040801   0.0033399241
     293    0.0000545067  -0.0019677374  -0.0030045230   0.0030590298   0.0036979872
     294    0.0018387432  -0.0011970370  -0.0030027776   0.0048415208   0.0034594775
     295    0.0010997982  -0.0007275474  -0.0009216275   0.0020214257   0.0017868756
     296    0.0007683083  -0.0003126818  -0.0010844675   0.0018527758   0.0015251461
     297    0.0007499207  -0.0004907314  -0.0010491837   0.0017991044   0.0016197627
     298    0.0004184379  -0.0002210257  -0.0006012737   0.0010197116   0.0015330963
     299    0.0002711192  -0.0001453353  -0.0006227210   0.0008938402   0.0009025805
     300    0.0011792567  -0.0009240103  -0.0014757318   0.0026549885   0.0020590692
     301    0.0013094813  -0.0018351027  -0.0028598531   0.0041693344   0.0033556331
     302   -0.0006453274  -0.0020223555  -0.0025034939   0.0018581665   0.0038899857
     303   -0.0013607819  -0.0017540777  -0.0023751613   0.0010143795   0.0041434824
     304   -0.0003703316  -0.0018884190  -0.0027971947   0.0024268631   0.0034413226
     305    0.0013870930  -0.0012244936  -0.0029430560   0.0043301490   0.0033020630
     306    0.0011342263  -0.0006993110  -0.0012742167   0.0024084431   0.0021139542
     307    0.0003615031  -0.0001927123  -0.0006920161   0.0010535193   0.0012538039
     308    0.0009492076  -0.0002462303  -0.0010775271   0.0020267347   0.0015582506
     309    0.0011406932   0.0002860683  -0.0010502436   0.0021909369   0.0018064779
     310    0.0006802627  -0.0001962471  -0.0006130233   0.0012932861   0.0010915826
     311    0.0013480965  -0.0007899383  -0.0013843980   0.0027324945   0.0020211809
     312    0.0021525062  -0.0014317616  -0.0031188743   0.0052713805   0.0039688905
     313    0.0000925593  -0.0015411577  -0.0028994387   0.0029919981   0.0045654535
     314    0.0000314396  -0.0021746252  -0.0027893441   0.0028207837   0.0032176890
     315    0.0003458836  -0.0018606602  -0.0027560275   0.0031019111   0.0036003576
     316    0.0022782565  -0.0011385271  -0.0032772895   0.0055555461   0.0039951035
     317    0.0011845775  -0.0003144912  -0.0014887493   0.0026733268   0.0020116176
     318    0.0004453882  -0.0002284342  -0.0007373978   0.0011827859   0.0015717031
     319    0.0010342124  -0.0003295742  -0.0011890103   0.0022232227   0.0016798892
