Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     136    0.0006270836  -0.0002056576  -0.0003174675   0.0009445511   0.0006876200
     137    0.0009936458   0.0000155764  -0.0004840670   0.0014777127   0.0010014631
     138    0.0010473858  -0.0000133660  -0.0005773390   0.0016247248   0.0010990839
     139    0.0007774260   0.0000044920  -0.0003846601   0.0011620861   0.0007880975
     140    0.0011077912   0.0000600522  -0.0007803606   0.0018881518   0.0012603616
     141    0.0014783394   0.0000579070  -0.0009344773   0.0024128167   0.0016157636
     142    0.0008122627   0.0001370582  -0.0004208051   0.0012330679   0.0008226758
     143    0.0002699805   0.0000783258  -0.0007875133   0.0010574938   0.0007506805
     144    0.0017361984   0.0006104324  -0.0003512161   0.0020874145   0.0013920119
     145    0.0011060227  -0.0000040596  -0.0006989652   0.0018049879   0.0012129916
     146    0.0009993562   0.0001161762  -0.0010695296   0.0020688858   0.0013831396
     147    0.0004164215   0.0001474253  -0.0010746517   0.0014910732   0.0010587939
     148    0.0002097510  -0.0003215962  -0.0005623526   0.0007721036   0.0005263578
     149    0.0003545543   0.0001353317  -0.0005059467   0.0008605010   0.0005957836
     150    0.0006873183   0.0002919597  -0.0003015447   0.0009888630   0.0006631478
     151    0.0007927550   0.0003095748  -0.0001480037   0.0009407587   0.0006267858
     152    0.0006268158   0.0002526110  -0.0001246734   0.0007514892   0.0005006235
     153    0.0009072366   0.0001014984  -0.0005250285   0.0014322651   0.0009566233
     154    0.0011875256   0.0000060449  -0.0005689819   0.0017565074   0.0011931598
     155    0.0005204460   0.0002083714  -0.0003559627   0.0008764087   0.0005918469
     156    0.0003299663  -0.0000050460  -0.0008616409   0.0011916072   0.0008187731
     157    0.0010347734  -0.0001688822  -0.0015309938   0.0025657672   0.0017103320
     158    0.0010102212  -0.0000127949  -0.0011020383   0.0021122595   0.0014073616
     159    0.0010419551   0.0003487918  -0.0017761797   0.0028181347   0.0019564687
     160    0.0006315885  -0.0003091533  -0.0017736522   0.0024052406   0.0016149207
     161    0.0005021566  -0.0007868098  -0.0016161458   0.0021183024   0.0014221866
     162    0.0006096166   0.0000498072  -0.0016003088   0.0022099254   0.0015307537
     163    0.0011066924   0.0005401629  -0.0011061680   0.0022128604   0.0015315336
     164    0.0007474416   0.0004786441  -0.0003437836   0.0010912252   0.0007574896
     165    0.0007850730   0.0001487443  -0.0003830621   0.0011681351   0.0007792182
     166    0.0010497122   0.0002776369  -0.0006300554   0.0016797676   0.0011202315
     167    0.0011760872   0.0003636013  -0.0003770213   0.0015531084   0.0010350086
     168    0.0010148119   0.0002276257  -0.0002236864   0.0012384984   0.0008351067
     169    0.0009004937   0.0002930650  -0.0004896184   0.0013901121   0.0009285056
     170    0.0001501867   0.0000354420  -0.0006230046   0.0007731913   0.0005559104
     171    0.0002749848  -0.0001052975  -0.0007741299   0.0010491147   0.0007076490
     172    0.0006004222  -0.0003781063  -0.0006121107   0.0012125330   0.0008570129
     173    0.0010528027  -0.0000300671  -0.0010463491   0.0020991518   0.0013986336
     174    0.0011167491   0.0005336821  -0.0014978198   0.0026145689   0.0018286783
     175    0.0009305766   0.0004398830  -0.0011363895   0.0020669661   0.0014388691
     176    0.0004855387   0.0001064855  -0.0008003964   0.0012859351   0.0008803820
     177    0.0004281597   0.0001241818  -0.0007919682   0.0012201278   0.0008462317
     178    0.0010478072   0.0002214322  -0.0007158620   0.0017636693   0.0011756838
     179    0.0011224958  -0.0000737372  -0.0004212027   0.0015436985   0.0010789419
     180    0.0011521109  -0.0001593243  -0.0005202058   0.0016723168   0.0011725082
     181    0.0009278154  -0.0000534403  -0.0004545243   0.0013823396   0.0009475277
     182    0.0007063001   0.0003016257  -0.0007786507   0.0014849509   0.0010227931
     183    0.0003770246  -0.0000187599  -0.0003733604   0.0007503851   0.0005001375
     184    0.0005624945  -0.0001324448  -0.0005289753   0.0010914698   0.0007361107
     185    0.0007302076   0.0000047382  -0.0004540284   0.0011842361   0.0007955475
     186    0.0008294806   0.0004104766  -0.0004011909   0.0012306715   0.0008336348
     187    0.0007690261   0.0007667831  -0.0006492016   0.0014182276   0.0010900827
     188    0.0007040001   0.0004983710  -0.0005816641   0.0012856643   0.0009201382
     189    0.0006560905  -0.0001622531  -0.0004211398   0.0010772303   0.0007491876
     190    0.0005126368  -0.0004105401  -0.0005996322   0.0011122690   0.0007929336
     191    0.0007073565  -0.0001236001  -0.0006392631   0.0013466195   0.0009052414
     192    0.0011564866   0.0001041691  -0.0005788919   0.0017353785   0.0011647539
     193    0.0011667903   0.0000377763  -0.0004569909   0.0016237812   0.0011088846
     194    0.0008005971  -0.0000722395  -0.0002401191   0.0010407161   0.0007444305
     195    0.0004855132   0.0000338423  -0.0005023058   0.0009878190   0.0006588603
     196    0.0004912306  -0.0001194432  -0.0003585455   0.0008497760   0.0005838587
     197    0.0007460806  -0.0001097621  -0.0003910338   0.0011371144   0.0007890916
     198    0.0008496536   0.0002100901  -0.0004459186   0.0012955722   0.0008630989
     199    0.0008686324   0.0006596559  -0.0004496380   0.0013182704   0.0009440002
     200    0.0009089216   0.0006489561  -0.0003915337   0.0013004553   0.0009168678
     201    0.0007373066   0.0004277661  -0.0005044499   0.0012417565   0.0008611952
     202    0.0006683119  -0.0000802902  -0.0003961399   0.0010644518   0.0007283815
     203    0.0004547145  -0.0002786672  -0.0003825219   0.0008372364   0.0006080328
     204    0.0006074005   0.0000080487  -0.0007743746   0.0013817751   0.0009231909
     205    0.0011935781   0.0001538552  -0.0006807852   0.0018743633   0.0012511399
     206    0.0013075350   0.0002016423  -0.0003779896   0.0016855245   0.0011409490
     207    0.0007823395   0.0000258357  -0.0000239540   0.0008062935   0.0006019904
     208    0.0006095398   0.0000114973  -0.0005814267   0.0011909665   0.0007933926
     209    0.0006585517  -0.0000646269  -0.0001869579   0.0008455096   0.0006088205
     210    0.0007914606   0.0000574277  -0.0002761056   0.0010675662   0.0007276749
     211    0.0009029853   0.0003103990  -0.0004759988   0.0013789841   0.0009216619
     212    0.0011470893   0.0005627520  -0.0006457135   0.0017928028   0.0012182028
     213    0.0012633149   0.0004597791  -0.0002239017   0.0014872166   0.0009918160
     214    0.0010344668   0.0004252733  -0.0002269357   0.0012614025   0.0008404756
     215    0.0006764018   0.0003854980  -0.0002732442   0.0009496460   0.0006482552
     216    0.0005915781   0.0002831984  -0.0001267308   0.0007183089   0.0004801096
     217    0.0009587106   0.0000691852  -0.0003869660   0.0013456766   0.0009118183
     218    0.0014002464   0.0001000785  -0.0006006526   0.0020008990   0.0013527375
     219    0.0014332390   0.0001221533  -0.0002175273   0.0016507663   0.0011614312
     220    0.0008572696   0.0000581408  -0.0000081248   0.0008653944   0.0006417214
     221    0.0004651282  -0.0001772322  -0.0004047320   0.0008698603   0.0006010445
     222    0.0010476133   0.0001833265  -0.0002583438   0.0013059570   0.0008850481
     223    0.0010766070   0.0002367401   0.0000078035   0.0010688035   0.0007497789
     224    0.0011859790   0.0003514375  -0.0001890378   0.0013750168   0.0009229558
     225    0.0014939629   0.0004816270  -0.0004538828   0.0019478457   0.0012979393
     226    0.0016298446   0.0004987478  -0.0001481057   0.0017779503   0.0011989772
     227    0.0013846286   0.0003887539   0.0001045247   0.0012801038   0.0008956202
     228    0.0010284654   0.0002598951   0.0000600539   0.0009684115   0.0006812054
     229    0.0009403564   0.0001718019   0.0000341502   0.0009062062   0.0006506332
     230    0.0011456327   0.0001235626  -0.0004164375   0.0015620702   0.0010569985
     231    0.0011972133   0.0002239445  -0.0007982236   0.0019954369   0.0013294400
     232    0.0011280065   0.0003057239  -0.0005010989   0.0016291054   0.0010852829
     233    0.0007598225   0.0001705631  -0.0003154017   0.0010752242   0.0007173867
     234    0.0004074089  -0.0000945204  -0.0005162869   0.0009236957   0.0006161135
     235    0.0011380281   0.0000309270  -0.0001985686   0.0013365967   0.0009522368
     236    0.0012719133   0.0003008477   0.0001140774   0.0011578359   0.0008282075
     237    0.0014901972   0.0004754111   0.0000794342   0.0014107630   0.0009694812
     238    0.0016512361   0.0004894974  -0.0000748361   0.0017260722   0.0011725957
     239    0.0014773023   0.0003799634  -0.0001608525   0.0016381548   0.0011120887
     240    0.0008502856   0.0002814870  -0.0000454388   0.0008957244   0.0006039159
     241    0.0004172609   0.0003394607  -0.0000156540   0.0004329149   0.0003074877
     242    0.0003796145   0.0001267726   0.0000162423   0.0003633721   0.0002481799
     243    0.0003011368   0.0000123324  -0.0005066808   0.0008078176   0.0005453819
     244    0.0003779260   0.0000698661  -0.0008648555   0.0012427814   0.0008622784
     245    0.0007628452   0.0001450899  -0.0007030263   0.0014658714   0.0009805357
     246    0.0006438782   0.0001299666  -0.0006098714   0.0012537496   0.0008397226
     247    0.0003666331  -0.0001174802  -0.0007046269   0.0010712600   0.0007147443
     248    0.0007400977  -0.0001286518  -0.0004078588   0.0011479566   0.0007976457
     249    0.0007896153   0.0002460583  -0.0002660705   0.0010556858   0.0007033737
     250    0.0009765554   0.0005813274  -0.0002412664   0.0012178218   0.0008277645
     251    0.0009895668   0.0006992693  -0.0004393200   0.0014288868   0.0010062491
     252    0.0008412802   0.0003144247  -0.0006112949   0.0014525751   0.0009797518
     253    0.0003512878  -0.0000688965  -0.0004703727   0.0008216605   0.0005474157
     254    0.0003462990  -0.0002805709  -0.0005998560   0.0009461550   0.0006413093
     255    0.0002676688  -0.0001409863  -0.0006698384   0.0009375073   0.0006262511
     256    0.0000760106  -0.0004412330  -0.0005473031   0.0006233136   0.0004443304
     257    0.0000912906  -0.0002118278  -0.0006287677   0.0007200584   0.0004816772
     258    0.0006646374  -0.0000750497  -0.0005072129   0.0011718504   0.0007895650
     259    0.0005575069   0.0000733957  -0.0003901272   0.0009476342   0.0006313383
     260    0.0002837719  -0.0000569874  -0.0004483537   0.0007321256   0.0004881109
     261    0.0000088969  -0.0002004526  -0.0003627356   0.0003716324   0.0002482326
     262    0.0002154949  -0.0000953494  -0.0005407974   0.0007562923   0.0005064747
     263    0.0005083437   0.0001308451  -0.0008211133   0.0013294569   0.0009127930
     264    0.0010748473   0.0001205250  -0.0011297861   0.0022046334   0.0014730736
     265    0.0009998011  -0.0000004375  -0.0010748486   0.0020746497   0.0013823708
     266    0.0002051935  -0.0000898667  -0.0008863848   0.0010915783   0.0007523228
     267    0.0002189707  -0.0003710342  -0.0011256483   0.0013446190   0.0008979840
     268    0.0002147194  -0.0002364819  -0.0010216102   0.0012363296   0.0008335637
     269    0.0002326507  -0.0001698675  -0.0005785817   0.0008112324   0.0005404267
     270    0.0004003030  -0.0000828153  -0.0001583879   0.0005586909   0.0004038462
     271    0.0007058119   0.0000801202   0.0000382188   0.0006675932   0.0004981999
     272    0.0006433834   0.0003008793   0.0000629362   0.0005804473   0.0003887642
     273    0.0006410990   0.0003421321  -0.0001307447   0.0007718437   0.0005185141
     274    0.0004737659  -0.0002870645  -0.0007478362   0.0012216021   0.0008219412
     275    0.0001844439  -0.0002719821  -0.0006755351   0.0008599790   0.0005732560
     276    0.0002953728   0.0000746629  -0.0008039253   0.0010992981   0.0007748041
     277    0.0010431645   0.0001356801  -0.0008874762   0.0019306407   0.0012869107
     278    0.0010654084   0.0000654296  -0.0007865464   0.0018519548   0.0012350355
     279    0.0002567393   0.0001080560  -0.0007711298   0.0010278691   0.0007401402
     280    0.0003953540   0.0000431154  -0.0012372870   0.0016326410   0.0011447098
     281    0.0004344043   0.0002101420  -0.0010993142   0.0015337185   0.0011036868
     282    0.0005939976   0.0004335573  -0.0005294803   0.0011234779   0.0008095921
     283    0.0009527104   0.0004707941  -0.0000136953   0.0009664057   0.0006437945
     284    0.0011108345   0.0003911177   0.0001068342   0.0010040003   0.0006894870
     285    0.0010960237   0.0003200940  -0.0000563913   0.0011524150   0.0007829296
     286    0.0010635328   0.0001163469  -0.0002699610   0.0013334938   0.0009141557
     287    0.0005486300   0.0003369483  -0.0006641219   0.0012127520   0.0008630684
     288    0.0003563641  -0.0000516140  -0.0004959182   0.0008522823   0.0005679397
     289    0.0003577263   0.0001243184  -0.0003694839   0.0007272102   0.0004946921
     290    0.0006850179   0.0003560975  -0.0004680136   0.0011530315   0.0007913791
     291    0.0007896626   0.0002155482  -0.0005463550   0.0013360176   0.0008929452
     292    0.0004451670   0.0003981832  -0.0005461176   0.0009912846   0.0007451136
     293    0.0009203522   0.0003587902  -0.0008886950   0.0018090472   0.0012336772
     294    0.0009100707   0.0004499770  -0.0007764485   0.0016865192   0.0011615325
     295    0.0011416568   0.0004907857  -0.0005609243   0.0017025810   0.0011446440
     296    0.0011246640   0.0004864708   0.0001169482   0.0010077158   0.0006792200
     297    0.0013590979   0.0003304478   0.0000796557   0.0012794422   0.0009033124
     298    0.0010246618   0.0001773096  -0.0001373235   0.0011619853   0.0008007411
     299    0.0005297160   0.0000159797  -0.0003454603   0.0008751763   0.0005859543
     300    0.0015701641   0.0003460725  -0.0005743183   0.0021444825   0.0014333645
     301    0.0011919944  -0.0000458607  -0.0004349616   0.0016269559   0.0011319291
     302    0.0008130723  -0.0000809144  -0.0004261000   0.0012391723   0.0008520621
