
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     13:49:14  JUL 05, 2019 CP=      1.180

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     133    0.0000599373  -0.0000008761  -0.0001525461   0.0002124834   0.0001458882
     134    0.0000464186  -0.0000005333  -0.0001481142   0.0001945329   0.0001353239
     135    0.0000375316  -0.0000002878  -0.0001389302   0.0001764619   0.0001238303
     136    0.0000316609  -0.0000007688  -0.0001231130   0.0001547739   0.0001088032
     137    0.0000272845  -0.0000033143  -0.0000993864   0.0001266709   0.0000881406
     138    0.0000262728  -0.0000090395  -0.0000685990   0.0000948718   0.0000639672
     139    0.0000359593  -0.0000135628  -0.0000426350   0.0000785944   0.0000530254
     140    0.0000701716  -0.0000066435  -0.0000452277   0.0001153992   0.0000783503
     141    0.0001310084   0.0000008116  -0.0000634698   0.0001944782   0.0001321178
     142    0.0002236032   0.0000183952  -0.0001446898   0.0003682930   0.0002483740
     143    0.0003481994   0.0000148510  -0.0002654715   0.0006136709   0.0004093196
     144    0.0000376253  -0.0000266514  -0.0000688253   0.0001064506   0.0000814734
     145    0.0000324129   0.0000031771  -0.0000623872   0.0000948000   0.0000744347
     146    0.0000505368   0.0000135700  -0.0000512822   0.0001018190   0.0000721762
     147    0.0000590576   0.0000108904  -0.0000443372   0.0001033947   0.0000726983
     148    0.0000591180   0.0000089523  -0.0000371805   0.0000962985   0.0000677818
     149    0.0000530249   0.0000066629  -0.0000296673   0.0000826922   0.0000585343
     150    0.0000420336   0.0000026634  -0.0000212398   0.0000632734   0.0000454488
     151    0.0000260951  -0.0000014029  -0.0000135219   0.0000396171   0.0000291845
     152    0.0000084674   0.0000028938  -0.0000176599   0.0000261273   0.0000192331
     153    0.0000164440  -0.0000078309  -0.0000382687   0.0000547127   0.0000393587
     154    0.0000331517  -0.0000189194  -0.0000770340   0.0001101856   0.0000795965
     155    0.0000564442  -0.0000201456  -0.0001526421   0.0002090863   0.0001575877
     156    0.0001284211   0.0000006313  -0.0002793329   0.0004077540   0.0002894721
     157    0.0000189202  -0.0000207734  -0.0000472266   0.0000661468   0.0000532762
     158    0.0000164131  -0.0000048238  -0.0000320426   0.0000484558   0.0000432782
     159    0.0000247946   0.0000058939  -0.0000175334   0.0000423280   0.0000353718
     160    0.0000270449   0.0000054516  -0.0000123999   0.0000394448   0.0000335947
     161    0.0000251872   0.0000047862  -0.0000081090   0.0000332961   0.0000294901
     162    0.0000213462   0.0000031609  -0.0000050071   0.0000263534   0.0000241896
     163    0.0000164925   0.0000008916  -0.0000040378   0.0000205303   0.0000188445
     164    0.0000103322  -0.0000018434  -0.0000050637   0.0000153959   0.0000135983
     165    0.0000027504  -0.0000038784  -0.0000088164   0.0000115669   0.0000096096
     166   -0.0000042797  -0.0000062618  -0.0000170253   0.0000127456   0.0000142936
     167   -0.0000060771  -0.0000123099  -0.0000343905   0.0000283134   0.0000309854
     168    0.0000058220  -0.0000226788  -0.0000761582   0.0000819802   0.0000753485
     169    0.0000497914  -0.0000181811  -0.0001498452   0.0001996366   0.0001525445
     170    0.0000231904  -0.0000119311  -0.0000463049   0.0000694953   0.0000475510
     171    0.0000217023  -0.0000022336  -0.0000296259   0.0000513282   0.0000376061
     172    0.0000209536   0.0000074547  -0.0000128082   0.0000337618   0.0000244090
     173    0.0000189744   0.0000077992  -0.0000110309   0.0000300053   0.0000220261
     174    0.0000156853   0.0000065880  -0.0000089986   0.0000246840   0.0000183973
     175    0.0000119275   0.0000041557  -0.0000070523   0.0000189799   0.0000141391
     176    0.0000077545   0.0000020897  -0.0000065588   0.0000143133   0.0000108385
     177    0.0000040023   0.0000002053  -0.0000081926   0.0000121949   0.0000099473
     178    0.0000022427  -0.0000023631  -0.0000128714   0.0000151142   0.0000121109
     179    0.0000011928  -0.0000039629  -0.0000221252   0.0000233179   0.0000179046
     180   -0.0000000278  -0.0000054102  -0.0000373016   0.0000372738   0.0000282609
     181    0.0000100236  -0.0000072371  -0.0000707745   0.0000807981   0.0000638475
     182    0.0000566323  -0.0000234123  -0.0001155357   0.0001721680   0.0001209576
     183    0.0000239556  -0.0000050709  -0.0000437875   0.0000677432   0.0000460246
     184    0.0000216657   0.0000036362  -0.0000281710   0.0000498367   0.0000363980
     185    0.0000218011   0.0000071230  -0.0000097953   0.0000315964   0.0000236801
     186    0.0000209152   0.0000063516  -0.0000095740   0.0000304892   0.0000229122
     187    0.0000186172   0.0000045159  -0.0000090021   0.0000276193   0.0000207504
     188    0.0000149966   0.0000027815  -0.0000083543   0.0000233509   0.0000174884
     189    0.0000101935   0.0000023409  -0.0000086713   0.0000188647   0.0000143265
     190    0.0000049974   0.0000024816  -0.0000101937   0.0000151910   0.0000127960
     191    0.0000037659  -0.0000000300  -0.0000148328   0.0000185988   0.0000149026
     192    0.0000039556  -0.0000023406  -0.0000247585   0.0000287141   0.0000216054
     193    0.0000037738  -0.0000042294  -0.0000416802   0.0000454540   0.0000336521
     194    0.0000139116  -0.0000029984  -0.0000777220   0.0000916336   0.0000729549
     195    0.0000624220  -0.0000074432  -0.0001346958   0.0001971177   0.0001381158
     196    0.0000238617   0.0000006685  -0.0000385891   0.0000624509   0.0000431068
     197    0.0000222193   0.0000073358  -0.0000255884   0.0000478077   0.0000353153
     198    0.0000233165   0.0000063051  -0.0000082782   0.0000315947   0.0000241839
     199    0.0000234272   0.0000046544  -0.0000092294   0.0000326566   0.0000247852
     200    0.0000213355   0.0000030663  -0.0000096615   0.0000309970   0.0000233418
     201    0.0000176282   0.0000022631  -0.0000098540   0.0000274821   0.0000205857
     202    0.0000125625   0.0000026438  -0.0000102783   0.0000228408   0.0000172927
     203    0.0000068787   0.0000038422  -0.0000115932   0.0000184719   0.0000153600
     204    0.0000052598   0.0000020378  -0.0000159234   0.0000211832   0.0000172470
     205    0.0000062292  -0.0000013652  -0.0000256949   0.0000319241   0.0000239014
     206    0.0000071319  -0.0000038940  -0.0000435933   0.0000507253   0.0000370468
     207    0.0000159593   0.0000004848  -0.0000828533   0.0000988127   0.0000805200
     208    0.0000645653   0.0000080265  -0.0001531069   0.0002176721   0.0001558952
     209    0.0000227542   0.0000063136  -0.0000295837   0.0000523378   0.0000371868
     210    0.0000232301   0.0000092055  -0.0000212028   0.0000444329   0.0000329888
     211    0.0000239600   0.0000056746  -0.0000076010   0.0000315610   0.0000243565
     212    0.0000245858   0.0000037154  -0.0000091917   0.0000337774   0.0000258620
     213    0.0000227764   0.0000024204  -0.0000102752   0.0000330517   0.0000250626
     214    0.0000191786   0.0000021777  -0.0000109352   0.0000301138   0.0000226187
     215    0.0000141524   0.0000030298  -0.0000114201   0.0000255724   0.0000194647
     216    0.0000086175   0.0000045578  -0.0000127366   0.0000213541   0.0000174835
     217    0.0000063460   0.0000033794  -0.0000167233   0.0000230693   0.0000189586
     218    0.0000076785  -0.0000007544  -0.0000258907   0.0000335692   0.0000251099
     219    0.0000094850  -0.0000036992  -0.0000434522   0.0000529372   0.0000383662
     220    0.0000178838   0.0000018387  -0.0000831426   0.0001010264   0.0000834043
     221    0.0000635667   0.0000191650  -0.0001606911   0.0002242578   0.0001642305
     222    0.0000196223   0.0000107304  -0.0000157367   0.0000353589   0.0000264711
     223    0.0000239414   0.0000085819  -0.0000145191   0.0000384604   0.0000284980
     224    0.0000231166   0.0000048444  -0.0000076062   0.0000307228   0.0000237265
     225    0.0000242450   0.0000030114  -0.0000096599   0.0000339049   0.0000259989
