Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     269    0.0000068273  -0.0000022129  -0.0000156043   0.0000224317   0.0000150368
     270    0.0000093431   0.0000023788  -0.0000116024   0.0000209455   0.0000142119
     271    0.0000182225   0.0000108486  -0.0000134782   0.0000317007   0.0000221019
     272    0.0000469160   0.0000213004  -0.0000565449   0.0001034609   0.0000717907
     273    0.0000949978   0.0000364371  -0.0001404420   0.0002354398   0.0001633121
     274    0.0002161755   0.0000008032  -0.0000767407   0.0002929163   0.0002022055
     275    0.0000971744  -0.0000056989  -0.0000890123   0.0001861868   0.0001242606
     276    0.0000236313  -0.0000068549  -0.0000933823   0.0001170136   0.0000808764
     277    0.0000138454  -0.0000069740  -0.0000947801   0.0001086255   0.0000768131
     278    0.0000109912  -0.0000082043  -0.0000927424   0.0001037336   0.0000735326
     279    0.0000102049  -0.0000080771  -0.0000856689   0.0000958738   0.0000678200
     280    0.0000080962  -0.0000057495  -0.0000725513   0.0000806476   0.0000574565
     281    0.0000068309  -0.0000031671  -0.0000535136   0.0000603444   0.0000430913
     282    0.0000164067  -0.0000073671  -0.0000315925   0.0000479992   0.0000319763
     283    0.0000393685  -0.0000104065  -0.0000172127   0.0000565812   0.0000411568
     284    0.0000780728   0.0000057803  -0.0000274996   0.0001055725   0.0000719124
     285    0.0001444845   0.0000254704  -0.0000967608   0.0002412453   0.0001607160
     286    0.0002062518   0.0000433809  -0.0002146763   0.0004209282   0.0002827909
     287    0.0000204936  -0.0000215946  -0.0000632379   0.0000837315   0.0000557800
     288    0.0000124925  -0.0000134266  -0.0000323701   0.0000448626   0.0000300065
     289    0.0000113239  -0.0000072070  -0.0000175272   0.0000288511   0.0000194776
     290    0.0000090929  -0.0000006408  -0.0000132758   0.0000223686   0.0000149431
     291    0.0000078490   0.0000041817  -0.0000112744   0.0000191234   0.0000135223
     292    0.0000117034   0.0000023764  -0.0000096939   0.0000213973   0.0000142933
     293    0.0000144731   0.0000006093  -0.0000084438   0.0000229169   0.0000153783
     294    0.0000147246   0.0000008308  -0.0000082638   0.0000229884   0.0000154251
     295    0.0000141606   0.0000014321  -0.0000086644   0.0000228250   0.0000152391
     296    0.0000154822   0.0000006661  -0.0000104876   0.0000259698   0.0000173576
     297    0.0000203531   0.0000004756  -0.0000195229   0.0000398760   0.0000265644
     298    0.0000365644   0.0000057796  -0.0000522384   0.0000888029   0.0000600782
     299    0.0000518196   0.0000224231  -0.0000765152   0.0001283348   0.0000895795
     300    0.0000062005  -0.0000279058  -0.0000326203   0.0000388209   0.0000282242
     301    0.0000010448  -0.0000062820  -0.0000169667   0.0000180115   0.0000120681
     302    0.0000074619  -0.0000014975  -0.0000099370   0.0000173988   0.0000115924
     303    0.0000069650  -0.0000012374  -0.0000073923   0.0000143573   0.0000095968
     304    0.0000054591  -0.0000004142  -0.0000052019   0.0000106610   0.0000071143
     305    0.0000041949   0.0000007354  -0.0000039396   0.0000081345   0.0000054391
     306    0.0000052365   0.0000004161  -0.0000038692   0.0000091058   0.0000060695
     307    0.0000061039   0.0000005881  -0.0000046003   0.0000107042   0.0000071320
     308    0.0000062328   0.0000010571  -0.0000049660   0.0000111988   0.0000074675
     309    0.0000063541   0.0000012688  -0.0000048385   0.0000111926   0.0000074666
     310    0.0000074741   0.0000013586  -0.0000062616   0.0000137358   0.0000091687
     311    0.0000134790   0.0000102483  -0.0000181938   0.0000316728   0.0000232211
     312    0.0000433252   0.0000144346  -0.0000434758   0.0000868010   0.0000588919
     313    0.0000061479  -0.0000117775  -0.0000472131   0.0000533611   0.0000361801
     314    0.0000050210  -0.0000050407  -0.0000170623   0.0000220833   0.0000147306
     315    0.0000070565   0.0000001765  -0.0000065152   0.0000135717   0.0000090414
     316    0.0000059662   0.0000002766  -0.0000063606   0.0000123268   0.0000082199
     317    0.0000043108   0.0000001790  -0.0000050755   0.0000093863   0.0000062678
     318    0.0000023895  -0.0000002522  -0.0000028146   0.0000052042   0.0000034670
     319    0.0000012023  -0.0000004751  -0.0000012512   0.0000024535   0.0000016708
     320    0.0000015456   0.0000006286  -0.0000023494   0.0000038950   0.0000027131
     321    0.0000023714   0.0000009071  -0.0000028052   0.0000051767   0.0000035553
     322    0.0000032042   0.0000010478  -0.0000025181   0.0000057222   0.0000038504
     323    0.0000043220   0.0000009129  -0.0000019063   0.0000062283   0.0000041553
