        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         196       70.500       55.500        0.000  -1.83914001  -0.01721381   0.00000000
         197       70.500       65.500        0.000  -2.44175523  -0.06714260   0.00000000
         198       70.500       75.500        0.000  -3.05994098  -0.11084958   0.00000000
         199       70.500       85.500        0.000  -3.66627734  -0.15749966   0.00000000
         200       70.500       95.500        0.000  -4.20957030  -0.19513989   0.00000000
         201       70.500      105.500        0.000  -4.63942301  -0.22091436   0.00000000
         202       70.500      115.500        0.000  -4.92382985  -0.24153189   0.00000000
         203       70.500      125.500        0.000  -5.05831924  -0.25674420   0.00000000
         204       70.500      135.500        0.000  -5.05417082  -0.26528162   0.00000000
         205       70.500      145.500        0.000  -4.88778671  -0.24755478   0.00000000
         206       70.500      155.500        0.000  -4.53253111  -0.20538151   0.00000000
         207       70.500      165.500        0.000  -4.01409988  -0.16871018   0.00000000
         208       70.500      175.500        0.000  -3.40191921  -0.15590116   0.00000000
         209       70.500      185.500        0.000  -2.79361451  -0.16468881   0.00000000
         210       70.500      195.500        0.000  -2.18328382  -0.16907053   0.00000000
         211       70.500      205.500        0.000  -1.61982134  -0.16279266   0.00000000
         212       70.500      215.500        0.000  -1.13406086  -0.12936711   0.00000000
         213       70.500      225.500        0.000  -0.73472533  -0.05110039   0.00000000
         214       70.500      235.500        0.000  -0.33992230  -0.04664639   0.00000000
         215       70.500      245.500        0.000  -0.10674304  -0.00737753   0.00000000
         216       70.500      255.500        0.000  -0.00959256   0.00794484   0.00000000
         217       80.500       -4.500        0.000   0.03174226  -0.01009978   0.00000000
         218       80.500        5.500        0.000  -0.06598491  -0.00831341   0.00000000
         219       80.500       15.500        0.000  -0.29670720  -0.00176202   0.00000000
         220       80.500       25.500        0.000  -0.65043304   0.01728338   0.00000000
         221       80.500       35.500        0.000  -1.10538658   0.03992852   0.00000000
         222       80.500       45.500        0.000  -1.66476574   0.00061357   0.00000000
         223       80.500       55.500        0.000  -2.30490327  -0.05605980   0.00000000
         224       80.500       65.500        0.000  -2.99266284  -0.10713300   0.00000000
         225       80.500       75.500        0.000  -3.70548851  -0.16383657   0.00000000
         226       80.500       85.500        0.000  -4.41503941  -0.21165635   0.00000000
         227       80.500       95.500        0.000  -5.06575380  -0.24917615   0.00000000
         228       80.500      105.500        0.000  -5.57601922  -0.26440176   0.00000000
         229       80.500      115.500        0.000  -5.91059812  -0.28191637   0.00000000
         230       80.500      125.500        0.000  -6.06155183  -0.30906670   0.00000000
         231       80.500      135.500        0.000  -6.04753074  -0.33229974   0.00000000
         232       80.500      145.500        0.000  -5.80790777  -0.30539088   0.00000000
         233       80.500      155.500        0.000  -5.33429567  -0.23261278   0.00000000
         234       80.500      165.500        0.000  -4.71340331  -0.16092634   0.00000000
         235       80.500      175.500        0.000  -4.10330135  -0.18153401   0.00000000
         236       80.500      185.500        0.000  -3.40666360  -0.18498698   0.00000000
         237       80.500      195.500        0.000  -2.70030824  -0.18617939   0.00000000
         238       80.500      205.500        0.000  -2.03370078  -0.18545472   0.00000000
         239       80.500      215.500        0.000  -1.43978157  -0.18823463   0.00000000
         240       80.500      225.500        0.000  -0.96593808  -0.09302460   0.00000000
         241       80.500      235.500        0.000  -0.55554036  -0.02451649   0.00000000
         242       80.500      245.500        0.000  -0.27927420   0.00912188   0.00000000
         243       80.500      255.500        0.000  -0.17325968   0.02600040   0.00000000
         244       90.500       -4.500        0.000  -0.09737611  -0.01878343   0.00000000
         245       90.500        5.500        0.000  -0.20084942  -0.01388455   0.00000000
         246       90.500       15.500        0.000  -0.45466678   0.00825056   0.00000000
         247       90.500       25.500        0.000  -0.86027075   0.02647592   0.00000000
         248       90.500       35.500        0.000  -1.37419113   0.02073280   0.00000000
         249       90.500       45.500        0.000  -1.98662409  -0.03508239   0.00000000
         250       90.500       55.500        0.000  -2.68535026  -0.08836770   0.00000000
         251       90.500       65.500        0.000  -3.45899520  -0.14269899   0.00000000
         252       90.500       75.500        0.000  -4.26227194  -0.19784680   0.00000000
         253       90.500       85.500        0.000  -5.02302088  -0.27980734   0.00000000
         254       90.500       95.500        0.000  -5.76061221  -0.30159029   0.00000000
         255       90.500      105.500        0.000  -6.35217348  -0.31898262   0.00000000
         256       90.500      115.500        0.000  -6.69636163  -0.31129436   0.00000000
         257       90.500      125.500        0.000  -6.85065149  -0.35319942   0.00000000
         258       90.500      135.500        0.000  -6.78947630  -0.36472559   0.00000000
         259       90.500      145.500        0.000  -6.50606827  -0.32518812   0.00000000
         260       90.500      155.500        0.000  -6.01570644  -0.25085907   0.00000000
         261       90.500      165.500        0.000  -5.43473820  -0.24200073   0.00000000
         262       90.500      175.500        0.000  -4.72900399  -0.22385125   0.00000000
         263       90.500      185.500        0.000  -3.94393759  -0.21087916   0.00000000
         264       90.500      195.500        0.000  -3.13465315  -0.19550930   0.00000000
         265       90.500      205.500        0.000  -2.38404710  -0.20415894   0.00000000
         266       90.500      215.500        0.000  -1.71917831  -0.20733744   0.00000000
         267       90.500      225.500        0.000  -1.14971646  -0.14181692   0.00000000
         268       90.500      235.500        0.000  -0.68803481  -0.03767650   0.00000000
         269       90.500      245.500        0.000  -0.43266928   0.03331184   0.00000000
         270       90.500      255.500        0.000  -0.32701918   0.05570945   0.00000000
         271      100.500       -4.500        0.000  -0.20371196  -0.02496035   0.00000000
         272      100.500        5.500        0.000  -0.30865947  -0.01974855   0.00000000
         273      100.500       15.500        0.000  -0.57204857  -0.00076976   0.00000000
         274      100.500       25.500        0.000  -0.99163843   0.00687604   0.00000000
         275      100.500       35.500        0.000  -1.53820693   0.00767017   0.00000000
         276      100.500       45.500        0.000  -2.18816186  -0.06149414   0.00000000
